product_prices,product_page_links,product_ids,image_links
13.99,/en_ca/productpage.1121266001.html,1121266001,"//lp2.hm.com/hmgoepprod?set=source[/01/5e/015e2903fe0d5eaec0639ac5e3b5e5fe741a83c0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
17.99,/en_ca/productpage.1121497001.html,1121497001,"//lp2.hm.com/hmgoepprod?set=source[/ab/27/ab27be88567d37f1597edfd6d225dcd2483beac8.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.1125202002.html,1125202002,"//lp2.hm.com/hmgoepprod?set=source[/8f/83/8f83f777d9b281e778bc3f8a6a4db5102462d809.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.0694458018.html,694458018,"//lp2.hm.com/hmgoepprod?set=source[/19/87/1987fdfd8d8ea6baec9956cc0cda182add34a1d5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
9.99,/en_ca/productpage.1121471001.html,1121471001,"//lp2.hm.com/hmgoepprod?set=source[/19/e0/19e030d5c86b406a2d878cf94025697009771e5c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.1125202003.html,1125202003,"//lp2.hm.com/hmgoepprod?set=source[/69/e4/69e422153359b4652db9bfda98340f6bf6968b42.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.1089174002.html,1089174002,"//lp2.hm.com/hmgoepprod?set=source[/cd/e9/cde9d2e212953c0f6891a50cf19ceb430511b9bf.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.0858321003.html,858321003,"//lp2.hm.com/hmgoepprod?set=source[/07/a7/07a7e66c17e824dc1997785336aae3520bc4d1ef.jpg],origin[dam],category[kids_babygirl_accessories],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
19.99,/en_ca/productpage.0757884026.html,757884026,"//lp2.hm.com/hmgoepprod?set=source[/a9/2b/a92b44afd2a2c62fb85f9c8a67f8d5b88393aa8a.jpg],origin[dam],category[kids_baby_boy_accessories_bibs],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
19.99,/en_ca/productpage.0757884028.html,757884028,"//lp2.hm.com/hmgoepprod?set=source[/81/ce/81ceeeae333d7856f4366bf6bb787cec080a6116.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]"
6.99,/en_ca/productpage.1118710006.html,1118710006,"//lp2.hm.com/hmgoepprod?set=source[/e9/3e/e93e257b7b90507c9618f1745741b94b274b0a43.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.0824475009.html,824475009,"//lp2.hm.com/hmgoepprod?set=source[/f0/da/f0da5df61f3db99b34f0ad20d7a843502f64e0ff.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
17.99,/en_ca/productpage.1156124001.html,1156124001,"//lp2.hm.com/hmgoepprod?set=source[/08/91/08910f937024b41e3576893562afef5e4aab0a9c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
14.99,/en_ca/productpage.0694458021.html,694458021,"//lp2.hm.com/hmgoepprod?set=source[/20/ef/20ef20c27875e441d189eae2291cf66a9f56d874.jpg],origin[dam],category[kids_baby_boy_accessories_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
13.99,/en_ca/productpage.1112627001.html,1112627001,"//lp2.hm.com/hmgoepprod?set=source[/cf/38/cf38733b428c05b28e1ee5a19979f02cffd843b0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
